Date1,Value,Variable,Site 
20170307S2,110.36,DO,S2
20170404S2,104.47,DO,S2
20170503S2,132.29,DO,S2
20170602S2,132.93,DO,S2
20170715S2,NA,DO,S2
20170804S2,111.14,DO,S2
20170905S2,87.23,DO,S2
20171004S2,90.39,DO,S2
20171116S2,66.38,DO,S2
20171215S2,57.53,DO,S2
20180104S2,60.51,DO,S2
20180221S2,87.35,DO,S2
20180312S2,NA,DO,S2
20180329S2,107.14,DO,S2
