Date1,Value,Variable ,Site 
20170307S2,14.7,temp,S2
20170404S2,18.3,temp,S2
20170503S2,24.9,temp,S2
20170602S2,24.9,temp,S2
20170715S2,29,temp,S2
20170804S2,29.5,temp,S2
20170905S2,28.6,temp,S2
20171004S2,23,temp,S2
20171116S2,20.7,temp,S2
20171215S2,17.1,temp,S2
20180104S2,14.4,temp,S2
20180221S2,14,temp,S2
20180312S2,15,temp,S2
20180329S2,19.7,temp,S2
