Date1,Value,Variable,Site
20170406P1,16.83333333,temp,P1
20170504P1,20.11111111,temp,P1
20170601P1,23.27777778,temp,P1
20170713P1,29,temp,P1
20170803P1,27.88888889,temp,P1
20170907P1,23.33333333,temp,P1
20171003P1,23.38888889,temp,P1
20171101P1,19.05555556,temp,P1
20171206P1,16.38888889,temp,P1
20180124P1,12.88888889,temp,P1
20180207P1,13,temp,P1
20180321P1,14.61111111,temp,P1
