"","B1","P1","P4","S1","S2","S5"
"LC08_CU_007013_20160228_20171018_C01_V01_SRB6",35.5,NA,NA,45.3333333333333,102.333333333333,50.5
"LC08_CU_007013_20160228_20171018_C01_V01_SRB7",27.5,NA,NA,35,91,39
"LC08_CU_007013_20160315_20171018_C01_V01_LINEAGEQA",2,NA,NA,2,2,2
"LC08_CU_007013_20160315_20171018_C01_V01_PIXELQA",324,NA,NA,324,324,324
"LC08_CU_007013_20160315_20171018_C01_V01_RADSATQA",0,NA,NA,0,0,0
"LC08_CU_007013_20160315_20171018_C01_V01_SRAEROSOLQA",68,NA,NA,100,89.3333333333333,84
"LC08_CU_007013_20160315_20171018_C01_V01_SRB1",305.5,NA,NA,270.666666666667,290,280.5
"LC08_CU_007013_20160315_20171018_C01_V01_SRB2",304,NA,NA,263.666666666667,296.666666666667,271.5
"LC08_CU_007013_20160315_20171018_C01_V01_SRB3",342.5,NA,NA,243,337.333333333333,249.5
"LC08_CU_007013_20160315_20171018_C01_V01_SRB4",227,NA,NA,172,229,174
"LC08_CU_007013_20160315_20171018_C01_V01_SRB5",182.5,NA,NA,180.666666666667,245,174
"LC08_CU_007013_20160315_20171018_C01_V01_SRB6",161,NA,NA,166,247,159
"LC08_CU_007013_20160315_20171018_C01_V01_SRB7",128.5,NA,NA,131.666666666667,198,124
"LC08_CU_007013_20160416_20171018_C01_V01_LINEAGEQA",2,NA,NA,2,2,2
"LC08_CU_007013_20160416_20171018_C01_V01_PIXELQA",324,NA,NA,324,324,324
"LC08_CU_007013_20160416_20171018_C01_V01_RADSATQA",0,NA,NA,0,0,0
"LC08_CU_007013_20160416_20171018_C01_V01_SRAEROSOLQA",68,NA,NA,68,68,68
"LC08_CU_007013_20160416_20171018_C01_V01_SRB1",215.5,NA,NA,197.333333333333,223,201.5
"LC08_CU_007013_20160416_20171018_C01_V01_SRB2",222.5,NA,NA,190.666666666667,235,201
"LC08_CU_007013_20160416_20171018_C01_V01_SRB3",239.5,NA,NA,183,261.333333333333,193.5
"LC08_CU_007013_20160416_20171018_C01_V01_SRB4",140,NA,NA,103.666666666667,149.333333333333,106
"LC08_CU_007013_20160416_20171018_C01_V01_SRB5",76,NA,NA,75,123.333333333333,81.5
"LC08_CU_007013_20160416_20171018_C01_V01_SRB6",58,NA,NA,64.3333333333333,128,68
"LC08_CU_007013_20160416_20171018_C01_V01_SRB7",43.5,NA,NA,50.3333333333333,113.666666666667,52
"LC08_CU_007013_20160502_20171018_C01_V01_LINEAGEQA",2,NA,NA,2,2,2
"LC08_CU_007013_20160502_20171018_C01_V01_PIXELQA",324,NA,NA,324,324,324
"LC08_CU_007013_20160502_20171018_C01_V01_RADSATQA",0,NA,NA,0,0,0
"LC08_CU_007013_20160502_20171018_C01_V01_SRAEROSOLQA",68,NA,NA,68,68,68
"LC08_CU_007013_20160502_20171018_C01_V01_SRB1",307,NA,NA,286.333333333333,406.333333333333,353
"LC08_CU_007013_20160502_20171018_C01_V01_SRB2",340.5,NA,NA,284.666666666667,417,356
"LC08_CU_007013_20160502_20171018_C01_V01_SRB3",438.5,NA,NA,261.333333333333,448.666666666667,350.5
"LC08_CU_007013_20160502_20171018_C01_V01_SRB4",254.5,NA,NA,194.666666666667,354.666666666667,274.5
"LC08_CU_007013_20160502_20171018_C01_V01_SRB5",151.5,NA,NA,176.666666666667,334,255
"LC08_CU_007013_20160502_20171018_C01_V01_SRB6",124,NA,NA,155.333333333333,331,227.5
"LC08_CU_007013_20160502_20171018_C01_V01_SRB7",95,NA,NA,122.333333333333,266.666666666667,185.5
"LC08_CU_007013_20160509_20171018_C01_V01_LINEAGEQA",1,1,1,2,2,2
"LC08_CU_007013_20160509_20171018_C01_V01_PIXELQA",338,324,324,352,324,324
"LC08_CU_007013_20160509_20171018_C01_V01_RADSATQA",0,0,0,0,0,0
"LC08_CU_007013_20160509_20171018_C01_V01_SRAEROSOLQA",68,68,68,68,68,68
"LC08_CU_007013_20160509_20171018_C01_V01_SRB1",588,243.666666666667,399.5,135.333333333333,191.666666666667,106
"LC08_CU_007013_20160509_20171018_C01_V01_SRB2",644.5,234,396.5,170.333333333333,240.333333333333,139
"LC08_CU_007013_20160509_20171018_C01_V01_SRB3",807,195,364,204,310.333333333333,167
"LC08_CU_007013_20160509_20171018_C01_V01_SRB4",605,76.6666666666667,249.5,157,216,105
"LC08_CU_007013_20160509_20171018_C01_V01_SRB5",504,27.6666666666667,213.5,150.333333333333,203.333333333333,98
"LC08_CU_007013_20160509_20171018_C01_V01_SRB6",461,32.3333333333333,202.5,159.333333333333,225,105
"LC08_CU_007013_20160509_20171018_C01_V01_SRB7",397.5,26.3333333333333,178,130.666666666667,189.333333333333,79.5
"LC08_CU_007013_20160525_20171018_C01_V01_LINEAGEQA",1,1,1,2,2,2
"LC08_CU_007013_20160525_20171018_C01_V01_PIXELQA",352,324,324,480,437.333333333333,480
"LC08_CU_007013_20160525_20171018_C01_V01_RADSATQA",0,0,0,0,0,0
