Date1,Value,Variable,Site
20170307B1,NA,DO,B1
20170404B1,NA,DO,B1
20170504B1,NA,DO,B1
20170601B1,NA,DO,B1
20170713B1,NA,DO,B1
20170803B1,NA,DO,B1
20170907B1,100.32,DO,B1
20171003B1,88.59,DO,B1
20171117B1,87.22,DO,B1
20171206B1,51.57,DO,B1
20180123B1,88.07,DO,B1
20180207B1,90.98,DO,B1
20180321B1,140.42,DO,B1
