Date1,Value,Variable,Site
20170406P1,108,DO,P1
20170504P1,108.46,DO,P1
20170601P1,126.37,DO,P1
20170713P1,113.62,DO,P1
20170803P1,103.23,DO,P1
20170907P1,101.13,DO,P1
20171003P1,93.98,DO,P1
20171101P1,75.73,DO,P1
20171206P1,90.36,DO,P1
20180124P1,96.02,DO,P1
20180207P1,101.51,DO,P1
20180321P1,112.3,DO,P1
