"","Site","Sat","LINEAGEQA","PIXELQA","RADSATQA","SRAEROSOLQA","SRATMOSOPACITYQA","SRB1","SRB2","SRB3","SRB4","SRB5","SRB6","SRB7","SRCLOUDQA","SatDate","Chlorophyll","TSS","SampleDate","DayDif"
"42","S2",7,2,68,0,NA,8,538,719.666666666667,617.666666666667,525.666666666667,418.333333333333,NA,338,37.3333333333333,2009-07-17,20.63155443,NA,2009-07-16,1
"43","S2",7,2,68,0,NA,8,249,232,194,182,124.666666666667,NA,102.333333333333,40,2009-10-14,7.549473208,NA,2009-10-13,1
"44","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2009-12-17,10.32089095,NA,2009-12-16,1
"45","S2",7,2,68,0,NA,8,404.666666666667,501.666666666667,354.333333333333,276,171,NA,119,40,2010-07-13,15.23922746,NA,2010-07-14,1
"46","S2",7,2,68,0,NA,8,212.333333333333,232,172,153,120,NA,51.3333333333333,32,2010-11-09,12.55713126,NA,2010-11-08,1
"47","S2",8,2,324,0,100,NA,384.666666666667,438.666666666667,354,379,364,364,306.666666666667,NA,2017-04-03,5.49,2.34,2017-04-04,1
"48","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2017-05-04,4.27,4.1,2017-05-03,1
"49","S2",8,2,342.666666666667,0,68,NA,690.666666666667,849.333333333333,781.666666666667,740,733.333333333333,733.333333333333,576.666666666667,NA,2017-07-15,21.88,4.816666667,2017-07-15,0
"50","S2",7,2,68,0,NA,8,302,306.333333333333,239.666666666667,237,124.666666666667,NA,123,40,2017-10-04,24.39,4.2,2017-10-04,0
"51","S2",8,2,324,0,68,NA,259,236.333333333333,155,95,88.3333333333333,88.3333333333333,81.6666666666667,NA,2017-12-15,2.715,1.6,2017-12-15,0
"52","S5",8,2,324,0,68,NA,369,362.5,283,284.5,218,218,181,NA,2017-04-03,6.015,2.2,2017-04-04,1
"53","S5",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2017-05-04,4.27,3.24,2017-05-03,1
"54","S5",8,2,480,0,8,NA,791,961,901.5,865.5,801.5,801.5,652,NA,2017-07-15,22.405,3.5,2017-07-15,0
"55","S5",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2017-10-04,25.65,2.9,2017-10-04,0
"56","S5",8,2,324,0,68,NA,240.5,205.5,134,71,46.5,46.5,31.5,NA,2017-12-15,2.967,1.583333333,2017-12-15,0
