"","Site","Sat","LINEAGEQA","PIXELQA","RADSATQA","SRAEROSOLQA","SRATMOSOPACITYQA","SRB1","SRB2","SRB3","SRB4","SRB5","SRB6","SRB7","SRCLOUDQA","SatDate","Chlorophyll","TSS","SampleDate","DayDif"
"45","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2009-05-07,3.41,1.12,2009-05-05,2
"46","P1",7,1,68,0,NA,8,442,424.333333333333,325.333333333333,295,257,NA,213.666666666667,38.6666666666667,2009-06-15,0.85,NA,2009-06-02,13
"47","P1",7,1,224,0,NA,8,925.666666666667,922,889.666666666667,936.333333333333,737,NA,606,2,2009-07-17,0.56,NA,2009-07-06,11
"48","P1",7,1,68,0,NA,8.66666666666667,385,377,265.666666666667,228.333333333333,129,NA,127,36,2009-08-02,0.38,NA,2009-08-04,2
"49","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2009-08-27,0.61,NA,2009-09-01,5
"50","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2009-09-28,0.93,NA,2009-10-06,8
"51","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2009-10-30,0.92,NA,2009-11-03,4
"52","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2009-12-01,0.68,NA,2009-12-01,0
"53","P1",7,1,68,0,NA,9,241.333333333333,208,96.3333333333333,94,9,NA,37,32,2010-01-09,1.61,NA,2010-01-06,3
"54","P1",7,1,68,0,NA,9,441,688.333333333333,447,112.333333333333,43.6666666666667,NA,23,32,2010-01-25,0.24,NA,2010-02-02,8
"55","P1",7,1,68,0,NA,22,283.666666666667,306,187,220,137,NA,113.666666666667,32,2010-02-26,1.3,NA,2010-03-03,5
"56","P1",7,1,68,0,NA,9,245.666666666667,265,208,204,107,NA,66,36,2010-04-15,1.33,NA,2010-04-13,2
"57","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2010-05-10,3.95,NA,2010-05-06,4
"58","P1",7,1,68,0,NA,8,316.333333333333,464,244.333333333333,147,74,NA,55.6666666666667,36,2010-06-02,1.609572266,NA,2010-06-03,1
"59","P1",7,1,68,0,NA,8,258.333333333333,278,199,182.666666666667,103,NA,56,36,2010-07-04,1.2,NA,2010-07-08,4
"60","P1",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-04-03,6.640833333,0.87,2017-04-06,3
"61","P1",7,1,68,0,NA,8.33333333333333,366,389.666666666667,331,305.333333333333,220.666666666667,NA,205.666666666667,36,2017-05-04,2.78625,1.16,2017-05-04,0
"62","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2017-05-29,8.181666667,2.4,2017-06-01,3
"63","P1",8,1,324,0,68,NA,434.333333333333,481.666666666667,289.666666666667,210,178,178,141.333333333333,NA,2017-07-15,4.055,2.97,2017-07-13,2
"64","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2017-08-01,3.784166667,1.84,2017-08-03,2
"65","P1",7,1,224,0,NA,181,3190,3395.66666666667,3578.33333333333,3954.33333333333,3870,NA,3432.33333333333,2,2017-09-09,1.6975,1.0625,2017-09-07,2
"66","P1",8,1,324,0,68,NA,266.666666666667,237.666666666667,139.333333333333,86.3333333333333,66.6666666666667,66.6666666666667,58.6666666666667,NA,2017-10-03,3.304166667,1.37,2017-10-03,0
"67","P1",8,1,324,0,68,NA,324,303.333333333333,164.666666666667,82.3333333333333,60.6666666666667,60.6666666666667,49,NA,2017-12-06,2.11275,2.48,2017-12-06,0
"68","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2018-01-24,1.48175,1.0875,2018-01-24,0
"69","P1",8,1,324,0,68,NA,244,214.333333333333,75.6666666666667,19,17.3333333333333,17.3333333333333,13.3333333333333,NA,2018-02-08,2.63375,2.6625,2018-02-07,1
"70","P4",8,1,324,0,68,NA,185.5,210,64.5,12.5,9,9,9.5,NA,2017-03-09,3.58825,3.195,2017-03-08,1
"71","P4",7,1,68,0,NA,8,228,243,147.5,141,70,NA,84.5,32,2017-05-04,7.740625,1.57,2017-05-04,0
"72","P4",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2017-05-29,7.328333333,1.64,2017-06-01,3
"73","P4",8,1,324,0,68,NA,443.5,488.5,289.5,215.5,177.5,177.5,142,NA,2017-07-15,5.966666667,2.38,2017-07-13,2
"74","P4",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2017-08-01,5.464166667,2.14,2017-08-03,2
"75","P4",7,1,224,0,NA,181,3470,3668,3846.5,4199,3867,NA,3559,2,2017-09-09,2.255,1.6625,2017-09-07,2
"76","P4",8,1,324,0,68,NA,274.5,245,140,80,66,66,55.5,NA,2017-10-03,3.151666667,1.24,2017-10-03,0
"77","P4",8,1,324,0,68,NA,297.5,289.5,146.5,50,31,31,20,NA,2017-12-06,1.31825,1.82,2017-12-06,0
"78","P4",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2018-01-24,1.7255,1.6125,2018-01-24,0
"79","P4",8,1,324,0,68,NA,228.5,191.5,70,13.5,16,16,12,NA,2018-02-08,2.2475,0.9375,2018-02-07,1
"80","S1",8,2,324,0,68,NA,34,99.6666666666667,44.3333333333333,25.3333333333333,31,31,22.6666666666667,NA,2017-03-09,7.2825,3.06,2017-03-07,2
