"","B1","P1","P4","S1","S2","S5"
"LE07_CU_007013_20070315_20170922_C01_V01_SRB5",60,NA,NA,98.6666666666667,NA,NA
"LE07_CU_007013_20070315_20170922_C01_V01_SRB7",24,NA,NA,17,NA,NA
"LE07_CU_007013_20070315_20170922_C01_V01_SRCLOUDQA",32,0,0,40,0,0
"LE07_CU_007013_20070331_20170922_C01_V01_LINEAGEQA",2,NA,NA,2,2,2
"LE07_CU_007013_20070331_20170922_C01_V01_PIXELQA",68,NA,NA,68,68,68
"LE07_CU_007013_20070331_20170922_C01_V01_RADSATQA",0,NA,NA,0,0,0
"LE07_CU_007013_20070331_20170922_C01_V01_SRATMOSOPACITYQA",39.5,NA,NA,8,8,8
"LE07_CU_007013_20070331_20170922_C01_V01_SRB1",288,NA,NA,280.333333333333,306,283.5
"LE07_CU_007013_20070331_20170922_C01_V01_SRB2",351,NA,NA,318,356.666666666667,332.5
"LE07_CU_007013_20070331_20170922_C01_V01_SRB3",199.5,NA,NA,208.666666666667,293,235
"LE07_CU_007013_20070331_20170922_C01_V01_SRB4",120,NA,NA,148,248.333333333333,166
"LE07_CU_007013_20070331_20170922_C01_V01_SRB5",52.5,NA,NA,75.6666666666667,138.333333333333,79.5
"LE07_CU_007013_20070331_20170922_C01_V01_SRB7",46,NA,NA,62.3333333333333,118.333333333333,71
"LE07_CU_007013_20070331_20170922_C01_V01_SRCLOUDQA",32,0,0,40,40,40
"LE07_CU_007013_20070407_20170923_C01_V01_LINEAGEQA",1,1,1,NA,NA,2
"LE07_CU_007013_20070407_20170923_C01_V01_PIXELQA",68,68,68,NA,NA,68
"LE07_CU_007013_20070407_20170923_C01_V01_RADSATQA",0,0,0,NA,NA,0
"LE07_CU_007013_20070407_20170923_C01_V01_SRATMOSOPACITYQA",9,9,9,NA,NA,9
"LE07_CU_007013_20070407_20170923_C01_V01_SRB1",340,303.666666666667,275.5,NA,NA,275
"LE07_CU_007013_20070407_20170923_C01_V01_SRB2",392,289,247,NA,NA,469
"LE07_CU_007013_20070407_20170923_C01_V01_SRB3",260,202,186,NA,NA,306
"LE07_CU_007013_20070407_20170923_C01_V01_SRB4",162.5,192.333333333333,142,NA,NA,178
"LE07_CU_007013_20070407_20170923_C01_V01_SRB5",65,119,65,NA,NA,133
"LE07_CU_007013_20070407_20170923_C01_V01_SRB7",57,77.6666666666667,34,NA,NA,45
"LE07_CU_007013_20070407_20170923_C01_V01_SRCLOUDQA",36,36,32,0,0,16
"LE07_CU_007013_20070416_20170922_C01_V01_LINEAGEQA",NA,NA,NA,2,NA,NA
"LE07_CU_007013_20070416_20170922_C01_V01_PIXELQA",NA,NA,NA,68,NA,NA
"LE07_CU_007013_20070416_20170922_C01_V01_RADSATQA",NA,NA,NA,0,NA,NA
"LE07_CU_007013_20070416_20170922_C01_V01_SRATMOSOPACITYQA",NA,NA,NA,11,NA,NA
"LE07_CU_007013_20070416_20170922_C01_V01_SRB1",NA,NA,NA,442,NA,NA
"LE07_CU_007013_20070416_20170922_C01_V01_SRB2",NA,NA,NA,514,NA,NA
"LE07_CU_007013_20070416_20170922_C01_V01_SRB3",NA,NA,NA,412.666666666667,NA,NA
"LE07_CU_007013_20070416_20170922_C01_V01_SRB4",NA,NA,NA,364,NA,NA
"LE07_CU_007013_20070416_20170922_C01_V01_SRB5",NA,NA,NA,286,NA,NA
"LE07_CU_007013_20070416_20170922_C01_V01_SRB7",NA,NA,NA,233.333333333333,NA,NA
"LE07_CU_007013_20070416_20170922_C01_V01_SRCLOUDQA",0,0,0,40,0,0
"LE07_CU_007013_20070502_20170922_C01_V01_LINEAGEQA",NA,NA,NA,2,2,NA
"LE07_CU_007013_20070502_20170922_C01_V01_PIXELQA",NA,NA,NA,68,68,NA
"LE07_CU_007013_20070502_20170922_C01_V01_RADSATQA",NA,NA,NA,0,0,NA
"LE07_CU_007013_20070502_20170922_C01_V01_SRATMOSOPACITYQA",NA,NA,NA,49,51,NA
"LE07_CU_007013_20070502_20170922_C01_V01_SRB1",NA,NA,NA,488.666666666667,542.333333333333,NA
"LE07_CU_007013_20070502_20170922_C01_V01_SRB2",NA,NA,NA,546,594.666666666667,NA
"LE07_CU_007013_20070502_20170922_C01_V01_SRB3",NA,NA,NA,508,538.666666666667,NA
"LE07_CU_007013_20070502_20170922_C01_V01_SRB4",NA,NA,NA,485,578.666666666667,NA
"LE07_CU_007013_20070502_20170922_C01_V01_SRB5",NA,NA,NA,463.666666666667,521.333333333333,NA
"LE07_CU_007013_20070502_20170922_C01_V01_SRB7",NA,NA,NA,397,456,NA
"LE07_CU_007013_20070502_20170922_C01_V01_SRCLOUDQA",0,0,0,27.3333333333333,2,0
"LE07_CU_007013_20070509_20170923_C01_V01_LINEAGEQA",1,1,1,NA,2,2
"LE07_CU_007013_20070509_20170923_C01_V01_PIXELQA",68,68,68,NA,68,68
"LE07_CU_007013_20070509_20170923_C01_V01_RADSATQA",0,0,0,NA,0,0
"LE07_CU_007013_20070509_20170923_C01_V01_SRATMOSOPACITYQA",8,8,8,NA,8,8
"LE07_CU_007013_20070509_20170923_C01_V01_SRB1",306,381.333333333333,342.5,NA,293,283
"LE07_CU_007013_20070509_20170923_C01_V01_SRB2",382,396,364,NA,430,416
"LE07_CU_007013_20070509_20170923_C01_V01_SRB3",252,223,183,NA,318,278
"LE07_CU_007013_20070509_20170923_C01_V01_SRB4",196,183.666666666667,126,NA,262,211
"LE07_CU_007013_20070509_20170923_C01_V01_SRB5",124,124,71.5,NA,207.666666666667,165
"LE07_CU_007013_20070509_20170923_C01_V01_SRB7",107,114.333333333333,74.5,NA,157,149
"LE07_CU_007013_20070509_20170923_C01_V01_SRCLOUDQA",34,36,32,0,36,36
"LE07_CU_007013_20070518_20170923_C01_V01_LINEAGEQA",2,NA,NA,2,2,2
"LE07_CU_007013_20070518_20170923_C01_V01_PIXELQA",68,NA,NA,68,68,68
"LE07_CU_007013_20070518_20170923_C01_V01_RADSATQA",0,NA,NA,0,0,0
"LE07_CU_007013_20070518_20170923_C01_V01_SRATMOSOPACITYQA",25,NA,NA,8,8,8
"LE07_CU_007013_20070518_20170923_C01_V01_SRB1",501.5,NA,NA,427,443.666666666667,447.5
"LE07_CU_007013_20070518_20170923_C01_V01_SRB2",571.5,NA,NA,499,531.666666666667,521
"LE07_CU_007013_20070518_20170923_C01_V01_SRB3",391.5,NA,NA,388,435,395
"LE07_CU_007013_20070518_20170923_C01_V01_SRB4",333,NA,NA,313.666666666667,382.333333333333,319
"LE07_CU_007013_20070518_20170923_C01_V01_SRB5",219,NA,NA,224,259.333333333333,231
"LE07_CU_007013_20070518_20170923_C01_V01_SRB7",140.5,NA,NA,144.666666666667,181,174
"LE07_CU_007013_20070518_20170923_C01_V01_SRCLOUDQA",40,0,0,40,40,40
"LE07_CU_007013_20070525_20170923_C01_V01_LINEAGEQA",1,1,1,NA,2,2
"LE07_CU_007013_20070525_20170923_C01_V01_PIXELQA",96,68,68,NA,68,68
"LE07_CU_007013_20070525_20170923_C01_V01_RADSATQA",0,0,0,NA,0,0
"LE07_CU_007013_20070525_20170923_C01_V01_SRATMOSOPACITYQA",16,9,12,NA,8,8
"LE07_CU_007013_20070525_20170923_C01_V01_SRB1",667,513,472.5,NA,455.333333333333,466.5
